model,episode_idx,frames,episode_total_s,obs_s,inference_s,action_s,wait_s,obs_pct,inference_pct,action_pct,wait_pct
teleop,62,711,24.816406,5.073206,3.042516,1.749799,14.950884,20.442952,12.260100,7.050978,60.245969
teleop,63,486,17.073839,3.286148,2.209121,1.205180,10.373390,19.246683,12.938633,7.058633,60.756052
teleop,63,90,3.165094,0.619627,0.398307,0.227016,1.920143,19.576908,12.584373,7.172478,60.666240
teleop,63,836,29.315343,6.531738,3.551071,2.001776,17.230758,22.280955,12.113351,6.828426,58.777269
teleop,64,498,17.540040,2.892777,2.248014,1.243548,11.155701,16.492419,12.816469,7.089769,63.601343
teleop,64,132,4.630851,1.133695,0.476451,0.259822,2.760882,24.481366,10.288623,5.610686,59.619326
teleop,64,508,17.807220,3.264177,2.061299,1.127312,11.354432,18.330636,11.575635,6.330646,63.763083
teleop,64,23,0.790752,0.142949,0.107780,0.037306,0.502718,18.077549,13.630051,4.717729,63.574672
teleop,64,642,22.969967,6.787664,2.523326,1.261787,12.397190,29.550167,10.985328,5.493205,53.971299
teleop,64,290,11.642661,8.898828,1.236922,0.710041,0.796871,76.432935,10.624051,6.098611,6.844403
teleop,64,314,12.505379,8.578848,1.345480,0.830159,1.750892,68.601262,10.759207,6.638418,14.001113
teleop,64,739,25.863799,4.644775,3.143417,1.835139,16.240468,17.958596,12.153734,7.095395,62.792275
teleop,65,743,26.105458,4.471035,3.161081,1.837911,16.635431,17.126821,12.108888,7.040333,63.723957
teleop,66,701,24.753902,4.164609,3.021985,1.790674,15.776634,16.824049,12.208115,7.233908,63.733928
teleop,67,771,27.241633,5.188123,3.452367,2.096597,16.504547,19.044830,12.673126,7.696297,60.585747
teleop,67,492,17.307349,3.859247,1.928400,1.137325,10.382378,22.298315,11.142086,6.571339,59.988260
teleop,67,611,21.392510,4.379907,2.602843,1.378485,13.031276,20.474021,12.167075,6.443772,60.915132
