0,0.5000,1,0.000,53,1.829
0,0.5000,154,5.264,5,0.183
0,0.5000,208,7.150,6,0.204
0,0.5000,264,9.099,4,0.138
0,0.5000,317,10.975,4,0.138
0,0.5000,371,12.892,3,0.104
0,0.5000,423,14.736,4,0.136
0,0.5000,477,16.652,10,0.354
0,0.5000,536,18.752,5,0.184
0,0.5000,591,20.712,11,0.395
0,0.5000,651,22.815,7,0.244
0,0.5000,758,26.824,3,0.101
0,0.5000,808,28.566,9,0.311
0,0.5000,869,30.725,5,0.174
0,0.5000,921,32.758,16,0.566
0,0.5000,989,35.162,5,0.182
0,0.5000,1041,37.011,10,0.349
0,0.5000,1103,39.201,5,0.170
0,0.5000,1155,40.999,10,0.377
0,0.5000,1217,43.219,3,0.104
0,0.5000,1267,44.988,9,0.310
0,0.5000,1328,47.115,2,0.070
0,0.5000,1377,48.828,10,0.552
0,0.5000,1439,51.218,4,0.137
0,0.5000,1490,53.038,7,0.251
0,0.5000,1549,55.160,4,0.139
0,0.5000,1600,56.951,7,0.242
0,0.5000,1659,59.043,2,0.071
1,0.4000,1,0.000,54,1.844
1,0.4000,155,5.288,14,0.498
1,0.4000,315,10.928,4,0.136
1,0.4000,370,12.863,2,0.069
1,0.4000,420,14.619,7,0.248
1,0.4000,478,16.628,3,0.104
1,0.4000,529,18.449,8,0.271
1,0.4000,588,20.472,3,0.102
1,0.4000,639,22.278,8,0.274
1,0.4000,698,24.395,4,0.138
1,0.4000,750,26.205,5,0.174
1,0.4000,806,28.185,2,0.069
1,0.4000,856,29.974,6,0.207
1,0.4000,961,33.635,4,0.135
1,0.4000,1015,35.531,5,0.175
1,0.4000,1069,37.417,4,0.136
1,0.4000,1123,39.280,3,0.105
1,0.4000,1175,41.075,4,0.136
1,0.4000,1278,44.684,3,0.102
1,0.4000,1331,46.536,4,0.342
1,0.4000,1384,48.586,3,0.105
1,0.4000,1437,50.454,1,0.036
1,0.4000,1487,52.187,2,0.070
1,0.4000,1588,55.715,2,0.069
1,0.4000,1640,57.550,6,0.239
1,0.4000,1695,59.486,4,0.136
2,0.3000,1,0.000,61,2.092
2,0.3000,162,5.656,32,1.109
3,0.2000,1,0.000,53,1.838
3,0.2000,154,5.218,35,1.214
3,0.2000,289,9.873,32,1.102
3,0.2000,420,14.323,34,1.159
3,0.2000,553,18.873,29,0.998
3,0.2000,681,23.238,32,1.088
3,0.2000,812,27.695,30,1.030
3,0.2000,941,32.081,33,1.143
3,0.2000,1073,36.583,39,1.375
3,0.2000,1211,41.345,34,1.180
3,0.2000,1345,45.962,37,1.276
3,0.2000,1481,50.621,33,1.143
3,0.2000,1613,55.322,43,1.475
4,0.1000,1,0.000,55,1.910
4,0.1000,156,5.267,43,1.505
4,0.1000,298,10.132,42,1.448
4,0.1000,439,14.937,45,1.600
4,0.1000,583,19.879,42,1.434
4,0.1000,724,24.663,42,1.458
4,0.1000,865,29.464,40,1.386
4,0.1000,1004,34.186,44,1.513
4,0.1000,1147,39.049,41,1.413
4,0.1000,1288,43.836,41,1.409
4,0.1000,1428,48.585,41,1.419
4,0.1000,1568,53.344,41,1.436
4,0.1000,1708,58.120,41,1.616
5,0.2500,1,0.000,56,1.956
5,0.2500,157,5.334,32,1.099
5,0.2500,288,9.809,29,0.991
5,0.2500,416,14.183,28,0.959
5,0.2500,543,18.517,25,0.858
5,0.2500,667,22.724,29,1.011
5,0.2500,796,27.121,25,0.857
5,0.2500,920,31.349,27,0.931
5,0.2500,1046,35.638,26,0.892
5,0.2500,1171,39.874,26,0.898
5,0.2500,1296,44.125,26,0.890
5,0.2500,1421,48.393,28,0.956
5,0.2500,1548,52.710,26,1.081
5,0.2500,1673,57.163,24,0.835
6,0.3500,1,0.000,55,1.913
6,0.3500,156,5.341,20,0.687
6,0.3500,320,11.056,4,0.135
6,0.3500,469,16.198,2,0.069
6,0.3500,570,19.712,6,0.210
6,0.3500,1064,36.884,1,0.038
6,0.3500,1164,40.351,1,0.038
6,0.3500,1312,45.669,3,0.101
6,0.3500,1461,50.827,1,0.043
6,0.3500,1561,54.255,1,0.034
6,0.3500,1610,55.981,2,0.072
