35,0,1.731784
35,49,1.911941
35,99,1.871522
35,148,1.832607
35,198,1.834577
35,247,1.813509
35,297,1.848663
35,346,2.092081
35,396,1.889131
35,445,2.129438
35,495,1.900976
35,544,1.837678
35,591,1.923695
35,643,1.882006
35,690,1.965142
35,742,2.365570
35,789,2.002441
35,841,1.969471
35,888,1.962660
35,940,1.939502
35,987,1.917895
35,1039,1.924028
35,1086,1.850260
35,1138,1.928679
35,1185,1.902917
35,1237,1.917814
35,1284,1.948845
35,1336,1.854099
35,1383,1.849561
35,1435,1.785323
36,0,1.753053
36,59,1.876930
36,99,1.609630
36,146,1.745073
36,197,1.769945
36,245,1.831864
36,296,1.887930
36,344,1.820201
36,395,1.944404
36,443,1.805930
36,494,1.926798
36,542,1.932980
36,593,1.804256
36,641,1.831885
36,692,1.858031
36,740,1.695403
36,790,1.806211
36,839,1.873404
36,889,1.781711
36,938,1.796704
36,988,1.781631
36,1037,1.704913
36,1087,1.785550
36,1136,1.807625
36,1186,1.733617
36,1235,1.772703
36,1285,1.723135
36,1334,1.713847
36,1384,1.729276
36,1433,1.868938
36,1483,1.793330
36,1532,1.491117
37,0,1.996526
37,69,2.102768
37,99,1.335081
37,140,1.327290
37,181,1.473219
37,226,1.374933
37,268,1.397510
37,310,1.300001
37,350,1.568073
37,399,1.557580
37,446,1.466793
37,490,1.502441
37,536,1.393816
37,579,1.420042
37,621,1.465752
37,665,1.423638
37,708,1.334796
37,748,1.213877
37,785,1.245287
37,824,1.505013
37,869,1.440303
37,912,1.428611
37,954,1.430278
37,997,1.445762
37,1041,1.407261
37,1083,1.504133
37,1129,1.456897
37,1172,1.374681
37,1214,1.468024
37,1259,1.377536
37,1300,1.435986
37,1343,1.343661
37,1384,1.442003
37,1428,1.420758
37,1471,1.462171
37,1514,1.373043
37,1556,1.476631
37,1600,1.363441
37,1641,1.597884
38,0,1.766465
38,79,1.861379
38,99,1.281938
38,99,1.278747
38,178,1.790016
38,198,1.261178
38,277,1.834914
38,297,1.282474
38,376,1.706259
38,396,1.294424
38,475,1.774877
38,495,1.366066
38,574,1.705619
38,594,1.232824
38,673,1.815000
38,693,1.353131
38,772,2.031544
38,792,1.336048
38,871,1.874656
38,891,1.336723
38,970,1.901791
38,990,1.299221
38,1069,1.799404
38,1089,1.354923
38,1089,1.435082
38,1174,1.903105
38,1188,1.326536
38,1267,1.753709
39,0,1.810361
39,89,1.804376
39,99,1.338943
39,188,1.760285
39,198,1.189824
39,287,1.925209
39,297,1.271426
39,386,1.764831
39,396,1.223821
39,485,1.764645
39,495,1.328890
39,584,1.707368
39,594,1.306334
39,683,1.795838
39,693,1.232149
39,782,1.726001
39,792,1.204770
39,881,1.737676
39,891,1.253302
39,980,1.739434
39,990,1.231780
39,1079,1.750594
39,1089,1.270567
39,1178,1.712190
39,1188,1.483409
